TERM_CD,CRS_SUBJ_CD,CRS_SUBJ_DESC,CRS_NBR,CRS_TITLE,COLL_CD,COLL_NAME,DEPT_CD,DEPT_NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,name1,name2,name3,grade_regs
220168,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",4,21,14,6,4,0,0,0,0,0,0,0,0,0,0,9,"Rhodes, Jane",,,58
220168,AAST,"African American Studies",110,"Intro Af Amer Lit, 1760-1910",FT,"Liberal Arts & Sciences",2363,"Black Studies",7,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,"Dubey, Madhu",,,24
220168,AAST,"African American Studies",125,"AfAm Religious Traditions",FT,"Liberal Arts & Sciences",2363,"Black Studies",4,11,9,7,2,0,0,0,0,0,0,0,0,0,0,6,"Jabir, Johari",,,39
220168,AAST,"African American Studies",203,"African Amer Family in U.S.",FT,"Liberal Arts & Sciences",2363,"Black Studies",3,6,2,4,6,0,0,0,0,0,0,0,0,0,0,2,"Grad Asst",,,23
220168,AAST,"African American Studies",247,"African American Hist to 1877",FT,"Liberal Arts & Sciences",2363,"Black Studies",0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,"Blair, Cynthia M",,,22
220168,AAST,"African American Studies",249,"Black Freedom Movements",FT,"Liberal Arts & Sciences",2363,"Black Studies",12,5,5,0,0,0,0,0,1,0,0,0,0,0,0,1,"Ransby, Barbara",,,24
220168,AAST,"African American Studies",250,"Comparative Black Literatures",FT,"Liberal Arts & Sciences",2363,"Black Studies",5,6,3,0,2,0,0,0,0,0,0,0,0,0,0,2,"Brown, Nicholas Mainey",,,18
220168,AAST,"African American Studies",262,"Black Cultural Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",8,10,6,2,1,0,0,0,0,0,0,0,0,0,0,1,"Jabir, Johari",,,28
220168,AAST,"African American Studies",265,"The Harlem Renaissance",FT,"Liberal Arts & Sciences",2363,"Black Studies",4,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Clarke, Ainsworth A.",,,13
220168,ACTG,Accounting,210,"Intr Fiin Acct for Bus Scholar",FL,"Business Administration",2656,Accounting,16,16,4,3,0,0,0,0,0,0,0,0,0,0,0,3,"Galvan, Abel",,,42
220168,ACTG,Accounting,210,"Intro Fin Acct for Actg Majors",FL,"Business Administration",2656,Accounting,18,46,31,8,3,0,0,0,0,0,0,0,0,0,0,24,"Galvan, Abel",,,130
220168,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,28,"Leventhal, Brian W",,,190
220168,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,20,62,68,22,11,0,0,0,0,0,0,0,0,0,0,3,"Jastrzebski, Ronald J",,,186
220168,ACTG,Accounting,211,"Intro Mang Acct for Actg Major",FL,"Business Administration",2656,Accounting,4,11,13,7,2,0,0,0,0,0,0,0,0,0,0,9,"Thomas, Barbara Ann",,,46
220168,ACTG,Accounting,315,"Intermediate Financial Actg I",FL,"Business Administration",2656,Accounting,31,37,43,6,2,0,0,0,0,0,0,0,0,0,0,16,"Raval, Vivek",,,135
220168,ACTG,Accounting,316,"Intermediate Financial Actg II",FL,"Business Administration",2656,Accounting,7,11,29,9,4,0,0,0,0,0,0,0,0,0,0,2,"Salama, Yehia A.",,,62
